題目,正確答案,選項一,選項二,選項三,選項四
問題#384⼀家公司在多個可⽤區的 Amazon EC2 Linux 執⾏個體上執⾏應⽤程式。應⽤程式需要⼀個⾼度可⽤且相容於可移植作業系統介⾯(POSIX) 的儲存層。儲存層必須提供最⼤的資料持久性，並且必須可在 EC2 執⾏個體之間共⽤。儲存層的資料在前30天會被頻繁訪問，之後將不再被頻繁訪問。哪⼀種解決⽅案能夠最具成本效益地滿⾜這些要求？,, 使⽤ Amazon S3 標準儲存類別。建立 S3 ⽣命週期策略以將不經常存取的資料移⾄ S3 Glacier。, 使⽤ Amazon S3 標準儲存類別。建立 S3 ⽣命週期策略以將不經常存取的資料移⾄ S3 標準-不頻繁存取（S3 標準-IA）。, 使⽤ Amazon Elastic File System (Amazon EFS) 標準儲存類別。建立⽣命週期管理策略，將不經常存取的資料移⾄ EFS 標準-不頻繁存取 (EFS 標準-IA)。, 使⽤ Amazon Elastic File System (Amazon EFS) One Zone 儲存類別。建立⽣命週期管理策略，將不常存取的資料移⾄ EFS OneZone-Infrequent Access (EFS One Zone-IA)。
問題#385解決⽅案架構師正在創建新的 VPC 設計。有兩個⽤於負載平衡器的公有⼦網路、兩個⽤於 Web 伺服器的私有⼦網路和兩個⽤於MySQL 的私有⼦網路。Web 伺服器僅使⽤ HTTPS。解決⽅案架構師已經為負載平衡器建立了⼀個安全性群組，允許來⾃ 0.0.0.0/0 的連接埠 443。公司政策要求每個資源具有仍能夠執⾏其任務所需的最少存取權限。解決⽅案架構師應該使⽤哪種附加配置策略來滿⾜這些要求？,, 為 Web 伺服器建立安全群組並允許來⾃ 0.0.0.0/0 的連接埠 443。為 MySQL 伺服器建立安全性群組，並允許 Web 伺服器安全群組的連接埠 3306。, 為 Web 伺服器建立網路 ACL，並允許來⾃ 0.0.0.0/0 的連接埠 443。為 MySQL 伺服器建立網路 ACL，並允許來⾃ Web 伺服器安全群組的連接埠 3306。, 為 Web 伺服器建立安全性群組並允許來⾃負載平衡器的連接埠 443。為 MySQL 伺服器建立安全性群組，並允許 Web 伺服器安全群組的連接埠 3306。, 為 Web 伺服器建立網路 ACL，並允許來⾃負載平衡器的連接埠 443。為 MySQL 伺服器建立網路 ACL，並允許來⾃ Web 伺服器安全群組的連接埠 3306。
問題#386⼀家電⼦商務公司正在 AWS 上運⾏多層應⽤程式。前端層和後端層均在 Amazon EC2 上運⾏，資料庫在 Amazon RDS for MySQL 上運⾏。後端層與 RDS 實例通訊。頻繁地呼叫從資料庫傳回相同的資料集會導致效能下降。應該採取哪些措施來提⾼後端的效能？,, 實作 Amazon SNS 來儲存資料庫呼叫。, 實作 Amazon ElastiCache 來快取⼤型資料集。, 實作 RDS for MySQL 唯讀副本來快取資料庫呼叫。, 實作 Amazon Kinesis Data Firehose 將呼叫串流傳輸到資料庫。
問題#387⼀名新員⼯加入⼀家公司，擔任部署⼯程師。部署⼯程師將使⽤ AWS CloudFormation 範本建立多個 AWS 資源。解決⽅案架構師希望部署⼯程師在遵循最⼩特權原則的同時執⾏⼯作活動。解決⽅案架構師應該採取哪些⾏動組合來實現這個⽬標？（選兩個。）,, 讓部署⼯程師使⽤ AWS 帳⼾根使⽤者憑證來執⾏ AWS CloudFormation 堆疊操作。, 為部署⼯程師建立⼀個新的 IAM ⽤⼾，並將該 IAM ⽤⼾新增⾄附加了 PowerUsers IAM 原則的群組。, 為部署⼯程師建立⼀個新的 IAM ⽤⼾，並將該 IAM ⽤⼾新增⾄附加了 AdministratorAccess IAM 原則的群組。, 為部署⼯程師建立⼀個新的 IAM ⽤⼾，並將該 IAM ⽤⼾新增⾄具有僅允許 AWS CloudFormation 操作的 IAM 原則的群組。E. 為部署⼯程師建立 IAM ⾓⾊，以明確定義特定於 AWS CloudFormation 堆疊的權限，並使⽤該 IAM ⾓⾊啟動堆疊。
問題#388⼀家公司正在 VPC 中部署兩層 Web 應⽤程式。Web 層使⽤具有跨多個可⽤區的公有⼦網路的 Amazon EC2 Auto Scaling 群組。資料庫層由位於不同私有⼦網路中的 Amazon RDS for MySQL 資料庫執⾏個體所組成。Web 層需要存取資料庫來檢索產品資訊。Web 應⽤程式未如預期運作。Web 應⽤程式報表無法連線到資料庫。資料庫已確認已啟動並正在運⾏。網路 ACL、安全性群組和路由表的所有設定仍處於預設狀態。解決⽅案架構師應該建議什麼來修復應⽤程式？,, 向私有⼦網路的網路 ACL 新增明確規則，以允許來⾃ Web 層 EC2 執⾏個體的流量。, 在 VPC 路由表中新增路由，以允許 Web 層的 EC2 執⾏個體和資料庫層之間的流量。, 將 Web 層的 EC2 執⾏個體和資料庫層的 RDS 執⾏個體部署到兩個單獨的 VPC 中，並配置 VPC 對等互連。, 在資料庫層RDS執⾏個體的安全性群組中新增入站規則，允許來⾃Web層安全性群組的流量。
問題#389⼀家公司將其線上廣告業務的⼤型資料集儲存在單⼀可⽤區的 Amazon RDS for MySQL 資料庫執⾏個體中。該公司希望運⾏業務報告查詢⽽不影響對⽣產資料庫實例的寫入操作。哪種解決⽅案滿⾜這些要求？,, 部署 RDS 唯讀副本來處理業務報表查詢。, 透過將資料庫執⾏個體放置在彈性負載平衡器後⾯來⽔平擴展資料庫執⾏個體。, 將資料庫執⾏個體擴展到更⼤的執⾏個體類型以處理寫入操作和查詢。, 在多個可⽤區中部署資料庫執⾏個體以處理業務報表查詢。
問題#390⼀家公司在⼀組 Amazon EC2 執⾏個體上託管⼀個三層電⼦商務應⽤程式。這些執⾏個體在應⽤程式負載平衡器 (ALB) 後⾯的 AutoScaling 群組中執⾏。所有電⼦商務資料都儲存在 Amazon RDS for MariaDB 多可⽤區資料庫執⾏個體中。該公司希望優化交易期間的客⼾會話管理。應⽤程式必須持久儲存會話資料。哪些解決⽅案可以滿⾜這些要求？（選兩個。）,, 開啟 ALB 上的黏性會話功能（會話親和性）。, 使⽤ Amazon DynamoDB 表格儲存客⼾會話資訊。, 部署 Amazon Cognito 使⽤者池來管理使⽤者會話資訊。, 部署 Amazon ElastiCache for Redis 叢集來儲存客⼾會話資訊。E. 在應⽤程式中使⽤ AWS Systems Manager Application Manager 來管理使⽤者會話資訊。
問題#391⼀家公司需要為其三層無狀態 Web 應⽤程式製定備份策略。Web 應⽤程式在 Auto Scaling 群組中的 Amazon EC2 執⾏個體上執⾏，該群組具有配置為回應擴展事件的動態擴展策略。資料庫層在 Amazon RDS for PostgreSQL 上運作。Web 應⽤程式不需要 EC2 執⾏個體上的暫存本機。該公司的復原點⽬標 (RPO) 是 2 ⼩時。備份策略必須最⼤限度地提⾼可擴展性並優化該環境的資源利⽤率。哪種解決⽅案可以滿⾜這些要求？,, 每 2 ⼩時拍攝⼀次 EC2 執⾏個體和資料庫的 Amazon Elastic Block Store (Amazon EBS) 磁碟區快照，以滿⾜ RPO。, 設定快照⽣命週期策略以拍攝 Amazon Elastic Block Store (Amazon EBS) 快照。在 Amazon RDS 中啟⽤⾃動備份以滿⾜ RPO。, 保留 Web 層和應⽤程式層的最新 Amazon 系統映像 (AMI)。在 Amazon RDS 中啟⽤⾃動備份並使⽤時間點復原來滿⾜ RPO。, 每 2 ⼩時拍攝⼀次 EC2 執⾏個體的 Amazon Elastic Block Store (Amazon EBS) 磁碟區快照。在 Amazon RDS 中啟⽤⾃動備份並使⽤時間點復原來滿⾜ RPO。
問題#392⼀家公司想要在 AWS 上部署新的公共 Web 應⽤程式。該應⽤程式包括使⽤ Amazon EC2 執⾏個體的 Web 伺服器層。該應⽤程式還包括使⽤ Amazon RDS for MySQL 資料庫執⾏個體的資料庫層。該應⽤程式必須安全且可供擁有動態 IP 位址的全球客⼾存取。解決⽅案架構師應如何配置安全群組以滿⾜這些要求？,, 設定 Web 伺服器的安全群組以允許連接埠 443 上來⾃ 0.0.0.0/0 的入站流量。設定資料庫執⾏個體的安全性群組以允許連接埠3306 上來⾃ Web 伺服器安全群組的入站流量。, 設定 Web 伺服器的安全群組，以允許來⾃客⼾ IP 位址的連接埠 443 上的入站流量。設定資料庫執⾏個體的安全性群組以允許連接埠 3306 上來⾃ Web 伺服器安全群組的入站流量。, 設定 Web 伺服器的安全群組，以允許來⾃客⼾ IP 位址的連接埠 443 上的入站流量。配置資料庫執⾏個體的安全性群組以允許來⾃客⼾ IP 位址的連接埠 3306 上的入站流量。, 設定 Web 伺服器的安全群組以允許連接埠 443 上來⾃ 0.0.0.0/0 的入站流量。配置資料庫執⾏個體的安全性群組以允許連接埠3306 上來⾃ 0.0.0.0/0 的入站流量。
問題#393⼀家⽀付處理公司記錄與其客⼾的所有語⾳通信，並將⾳訊檔案儲存在 Amazon S3 儲存桶中。該公司需要從⾳訊檔案中捕獲文字。公司必須從文字中刪除屬於客⼾的任何個⼈識別資訊 (PII)。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 使⽤ Amazon Kinesis Video Streams 處理⾳訊檔案。使⽤ AWS Lambda 函數掃描已知的 PII 模式。, 當⾳訊檔案上傳到 S3 儲存桶時，呼叫 AWS Lambda 函數啟動 Amazon Textract 任務來分析通話錄⾳。, 在啟⽤ PII 編輯的情況下配置 Amazon Transcribe 轉錄作業。當⾳訊檔案上傳到 S3 儲存桶時，呼叫 AWS Lambda 函數來啟動轉錄作業。將輸出儲存在單獨的 S3 儲存桶中。, 建立⼀個 Amazon Connect 聯繫流，在開啟轉錄的情況下提取⾳訊檔案。嵌入 AWS Lambda 函數來掃描已知的 PII 模式。當⾳訊檔案上傳到 S3 儲存桶時，使⽤ Amazon EventBridge 啟動聯繫流。
"問題#394⼀家公司正在 AWS 雲端中運⾏多層電⼦商務 Web 應⽤程式。該應⽤程式在具有 Amazon RDS for MySQL 多可⽤區資料庫執⾏個體的Amazon EC2 執⾏個體上執⾏。Amazon RDS 配置了最新⼀代資料庫實例，在通⽤ SSD (gp3) Amazon Elastic Block Store (Amazon EBS) 磁碟區中具有 2,000 GB 儲存空間。在⾼需求期間，資料庫效能會影響應⽤程式。資料庫管理員分析Amazon CloudWatch Logs中的⽇誌，發現當讀寫IOPS⾼於20,000時，應⽤程式效能總是會下降。解決⽅案架構師應該做什麼來提⾼應⽤程式效能？",, 將卷替換為磁性卷。, 增加 gp3 卷上的 IOPS 數。, 將磁碟區替換為預先配置 IOPS SSD (io2) 磁碟區。," 將 2,000 GB gp3 磁碟區替換為兩個 1,000 GB gp3 磁碟區。"
問題#395上週，⼀位 IAM ⽤⼾在⽣產部署期間對其公司帳⼾中的 AWS 資源進⾏了多項配置變更。解決⽅案架構師了解到，有些安全群組規則未如預期設定。解決⽅案架構師想要確認哪個 IAM 使⽤者負責進⾏變更。解決⽅案架構師應該使⽤哪種服務來尋找所需的資訊？,, 亞⾺遜 GuardDuty, 亞⾺遜檢驗員,AWS CloudTrail,AWS 配置
問題#396⼀家公司在 AWS 上實施了⾃我管理的 DNS 服務。此解決⽅案由以下部分組成：• 不同AWS 區域中的Amazon EC2 執⾏個體• AWS Global Accelerator 中標準加速器的終端節點該公司希望保護該解決⽅案免受DDoS 攻擊。解決⽅案架構師應該怎麼做才能滿⾜這項要求？,, 訂閱 AWS Shield Advanced。將加速器加入為要保護的資源。, 訂閱 AWS Shield Advanced。將 EC2 執⾏個體新增為要保護的資源。, 建立包含基於速率的規則的 AWS WAF Web ACL。將 Web ACL 與加速器關聯。, 建立包含基於速率的規則的 AWS WAF Web ACL。將 Web ACL 與 EC2 執⾏個體關聯。
問題#397電⼦商務公司需要運⾏預定的⽇常作業來匯總和過濾銷售記錄以進⾏分析。該公司將銷售記錄儲存在 Amazon S3 儲存桶中。每個物件的⼤⼩最⼤可達 10 GB。根據銷售事件的數量，該作業可能需要⻑達⼀個⼩時才能完成。作業的 CPU 和記憶體使⽤量是恆定的且是預先知道的。解決⽅案架構師需要最⼤限度地減少作業運⾏所需的操作⼯作量。哪種解決⽅案滿⾜這些要求？,, 建立具有 Amazon EventBridge 通知的 AWS Lambda 函數。將 EventBridge 事件安排為每天運⾏⼀次。, 建立 AWS Lambda 函數。建立 Amazon API Gateway HTTP API，並將該 API 與該函數整合。建立呼叫 API 並呼叫函數的 AmazonEventBridge 計畫事件。, 使⽤ AWS Fargate 啟動類型建立 Amazon Elastic Container Service (Amazon ECS) 叢集。建立⼀個 Amazon EventBridge 排程事件，該事件會在叢集上啟動 ECS 任務來執⾏作業。, 建立⼀個具有 Amazon EC2 啟動類型的 Amazon Elastic Container Service (Amazon ECS) 叢集以及⼀個包含⾄少⼀個 EC2 執⾏個體的 Auto Scaling 群組。建立⼀個 Amazon EventBridge 排程事件，該事件會在叢集上啟動 ECS 任務來執⾏作業。
問題#398⼀家公司需要將 600 TB 的資料從其本地網路附加儲存 (NAS) 系統傳輸到 AWS 雲端。資料傳輸必須在 2 週內完成。資料很敏感，必須在傳輸過程中加密。該公司的網路連線可⽀援 100 Mbps 的上傳速度。哪種解決⽅案最經濟有效率地滿⾜這些要求？,, 使⽤ Amazon S3 分段上傳功能透過 HTTPS 傳輸檔案。, 在本機 NAS 系統和最近的 AWS 區域之間建立 VPN 連線。透過 VPN 連線傳輸資料。, 使⽤ AWS Snow Family 控制台訂購多個 AWS Snowball Edge Storage Optimized 設備。使⽤裝置將資料傳輸到 Amazon S3。, 在公司地點和最近的 AWS 區域之間設定 10 Gbps AWS Direct Connect 連線。透過 VPN 連線將資料傳輸到區域以將資料儲存在Amazon S3 中。
問題#399⼀家⾦融公司在 AWS 上託管 Web 應⽤程式。該應⽤程式使⽤ Amazon API Gateway Regional API 終端節點使⽤⼾能夠檢索當前股票價格。該公司的安全團隊注意到 API 請求數量增加。安全團隊擔⼼ HTTP 洪⽔攻擊可能會使應⽤程式離線。解決⽅案架構師必須設計⼀個解決⽅案來保護應⽤程式免受此類攻擊。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 在 API Gateway 區域 API 終端節點前建立最⼤ TTL 為 24 ⼩時的 Amazon CloudFront 指派。, 使⽤基於速率的規則建立區域 AWS WAF Web ACL。將 Web ACL 與 API Gateway 階段關聯。, 使⽤ Amazon CloudWatch 指標監控計數指標並在達到預定義速率時向安全團隊發出警報。, 在 API Gateway 區域 API 終端節點前⾯使⽤ Lambda@Edge 建立 Amazon CloudFront 分配。建立 AWS Lambda 函數以阻⽌來⾃超出預定義速率的 IP 位址的請求。
問題#400⼀家氣像新創公司有⼀個客製化的 Web 應⽤程序，可以在線上向⽤⼾出售天氣數據。該公司使⽤ Amazon DynamoDB 來儲存數據，並希望建立⼀項新服務，以便在每次記錄新的天氣事件時向四個內部團隊的經理發送警報。該公司不希望這項新服務影響⽬前應⽤程式的效能。解決⽅案架構師應該如何做才能以最少的營運開銷來滿⾜這些要求？,, 使⽤ DynamoDB 交易將新事件資料寫入表中。配置事務以通知內部團隊。, 讓⽬前應⽤程式向四個 Amazon Simple Notication Service (Amazon SNS) 主題發布訊息。讓每個團隊訂閱⼀個主題。, 在表格上啟⽤ Amazon DynamoDB Streams。使⽤觸發器寫入團隊可以訂閱的單⼀ Amazon Simple Notication Service (Amazon SNS)主題。, 為每筆記錄新增⾃訂屬性以標記新項⽬。編寫⼀個 cron 作業，每分鐘掃描⼀次表格以尋找新項⽬，並通知團隊可以訂閱的Amazon Simple Queue Service (Amazon SQS) 佇列。
問題#401⼀家公司希望使⽤ AWS 雲端使現有應⽤程式具有⾼可⽤性和彈性。該應⽤程式的⽬前版本駐留在公司的資料中⼼。最近，由於意外斷電，資料庫伺服器崩潰，該應⽤程式出現了資料遺失的情況。該公司需要⼀種能夠避免任何單點故障的解決⽅案。該解決⽅案必須使應⽤程式能夠擴展以滿⾜⽤⼾需求。哪種解決⽅案可以滿⾜這些要求？,, 使⽤ Auto Scaling 群組中的 Amazon EC2 執⾏個體跨多個可⽤區部署應⽤程式伺服器。在多可⽤區配置中使⽤ Amazon RDS 資料庫執⾏個體。, 使⽤單⼀可⽤區的 Auto Scaling 群組中的 Amazon EC2 執⾏個體部署應⽤程式伺服器。在 EC2 執⾏個體上部署資料庫。啟⽤ EC2⾃動恢復。, 使⽤ Auto Scaling 群組中的 Amazon EC2 執⾏個體跨多個可⽤區部署應⽤程式伺服器。在單⼀可⽤區中使⽤具有唯讀副本的Amazon RDS 資料庫執⾏個體。如果主資料庫執⾏個體發⽣故障，則提升唯讀副本以取代主資料庫執⾏個體。, 使⽤ Auto Scaling 群組中的 Amazon EC2 執⾏個體跨多個可⽤區部署應⽤程式伺服器。在跨多個可⽤區的 EC2 執⾏個體上部署主資料庫伺服器和輔助資料庫伺服器。使⽤ Amazon Elastic Block Store (Amazon EBS) 多重附加在執⾏個體之間建立共⽤儲存。
